"","S","E","Ia","Is","R","ReD","V"
"34.8",4.09154822706227,0,0,16.2535414436114,79.6549103293264,0,0
"34.9",4.06514390828792,0,0,16.1180884152683,79.8167676764438,0,0
"35",4.0391280487033,0,0,15.9835966494438,79.9772753018529,0,0
"35.1",4.01349382105158,0,0,15.8500633745338,80.1364428044147,0,0
"35.2",3.9882345369309,0,0,15.7174857083513,80.2942797547179,0,0
"35.3",3.96334364367867,0,0,15.5858606623278,80.4507956939937,0,0
"35.4",3.93881472132921,0,0,15.4551851455979,80.606000133073,0,0
"35.5",3.91464147964288,0,0,15.3254559689741,80.7599025513831,0,0
"35.6",3.89081775520531,0,0,15.1966698488107,80.9125123959841,0,0
"35.7",3.86733750859479,0,0,15.0688234107625,81.0638390806428,0,0
"35.8",3.84419482161652,0,0,14.9419131934392,81.2138919849444,0,0
"35.9",3.82138389460191,0,0,14.8159356519583,81.3626804534399,0,0
"36",3.79889904377168,0,0,14.6908871614,81.5102137948285,0,0
"36.1",3.77673469866093,0,0,14.5667640201654,81.6565012811738,0,0
"36.2",3.754885399605,0,0,14.4435624532411,81.801552147154,0,0
"36.3",3.7333457952846,0,0,14.3212786153726,81.945375589343,0,0
"36.4",3.71211064032868,0,0,14.1999085941474,82.0879807655241,0,0
"36.5",3.69117479297384,0,0,14.0794484129933,82.229376794033,0,0
"36.6",3.6705332127789,0,0,13.95989403409,82.3695727531313,0,0
"36.7",3.6501809583932,0,0,13.8412413611993,82.5085776804077,0,0
"36.8",3.63011318537751,0,0,13.7234862424145,82.6464005722081,0,0
"36.9",3.61032514407612,0,0,13.6066244728318,82.7830503830922,0,0
"37",3.5908121775391,0,0,13.4906517971446,82.9185360253164,0,0
"37.1",3.57156971949326,0,0,13.3755639121643,83.0528663683425,0,0
"37.2",3.55259329236091,0,0,13.2613564692678,83.1860502383714,0,0
"37.3",3.53387850532502,0,0,13.1480250767747,83.3180964179004,0,0
"37.4",3.5154210524399,0,0,13.0355653022558,83.4490136453044,0,0
"37.5",3.4972167107861,0,0,12.9239726747743,83.5788106144396,0,0
"37.6",3.47926133866856,0,0,12.8132426870619,83.7074959742696,0,0
"37.7",3.461550873857,0,0,12.703370797631,83.8350783285121,0,0
"37.8",3.44408133186742,0,0,12.594352432825,83.9615662353076,0,0
"37.9",3.42684880428378,0,0,12.4861829888086,84.0869682069077,0,0
"38",3.40984945711896,0,0,12.3788578334987,84.2112927093824,0,0
"38.1",3.39307952921386,0,0,12.2723723084384,84.3345481623479,0,0
"38.2",3.37653533067389,0,0,12.166721730615,84.4567429387112,0,0
"38.3",3.36021324134186,0,0,12.0619013942243,84.5778853644339,0,0
"38.4",3.34410970930641,0,0,11.9579065723807,84.6979837183129,0,0
"38.5",3.32822124944511,0,0,11.8547325187773,84.8170462317777,0,0
"38.6",3.31254444200138,0,0,11.7523744692946,84.935081088704,0,0
"38.7",3.29707593119443,0,0,11.6508276435613,85.0520964252443,0,0
"38.8",3.28181242386141,0,0,11.5500872464665,85.1681003296722,0,0
"38.9",3.26675068813093,0,0,11.4501484696266,85.2831008422425,0,0
"39",3.25188755212736,0,0,11.3510064928067,85.3971059550659,0,0
"39.1",3.23721990270489,0,0,11.2526564852978,85.5101236119973,0,0
"39.2",3.22274468421092,0,0,11.1550936072515,85.6221617085376,0,0
"39.3",3.20845889727785,0,0,11.0583130109732,85.733228091749,0,0
"39.4",3.19435959764265,0,0,10.9623098421748,85.8433305601826,0,0
"39.5",3.1804438949936,0,0,10.8670792411874,85.952476863819,0,0
"39.6",3.16670895184345,0,0,10.7726163441367,86.0606747040198,0,0
"39.7",3.15315198242843,0,0,10.6789162840797,86.1679317334919,0,0
"39.8",3.13977025163233,0,0,10.5859741921059,86.2742555562618,0,0
"39.9",3.12656107393536,0,0,10.4937851984031,86.3796537276616,0,0
"40",3.1135218123868,0,0,10.4023444332882,86.484133754325,0,0
"40.1",3.10064987760115,0,0,10.311647028205,86.5877030941939,0,0
"40.2",3.08794272677709,0,0,10.2216881166889,86.690369156534,0,0
"40.3",3.07539786273876,0,0,10.1324628353003,86.792139301961,0,0
"40.4",3.0630128329987,0,0,10.0439663245264,86.8930208424748,0,0
"40.5",3.05078522884208,0,0,9.95619372965404,86.9930210415039,0,0
"40.6",3.03871268443164,0,0,9.8691402016117,87.0921471139566,0,0
"40.7",3.02679287593277,0,0,9.78280089778453,87.1904062262827,0,0
"40.8",3.01502352065837,0,0,9.69717098280069,87.2878054965409,0,0
"40.9",3.00340237623295,0,0,9.61224562929107,87.3843519944759,0,0
"41",2.99192723977547,0,0,9.52802001862269,87.4800527416018,0,0
"41.1",2.98059594710055,0,0,9.44448934160663,87.5749147112928,0,0
"41.2",2.96940637193758,0,0,9.36164879918101,87.6689448288814,0,0
